100.32 kPa, 84.25 m, 18.88 C, 65.97 F
100.34 kPa, 83.12 m, 18.81 C, 65.86 F
100.35 kPa, 81.81 m, 18.81 C, 65.86 F
100.34 kPa, 82.62 m, 18.81 C, 65.86 F
100.33 kPa, 82.81 m, 18.75 C, 65.75 F
100.33 kPa, 82.75 m, 18.69 C, 65.64 F
100.34 kPa, 83.00 m, 18.69 C, 65.64 F
100.33 kPa, 83.25 m, 18.69 C, 65.64 F
100.32 kPa, 83.88 m, 18.62 C, 65.53 F
100.33 kPa, 83.38 m, 18.62 C, 65.53 F
100.32 kPa, 84.25 m, 18.62 C, 65.53 F
100.32 kPa, 84.12 m, 18.56 C, 65.41 F
100.32 kPa, 84.00 m, 18.50 C, 65.30 F
100.32 kPa, 83.88 m, 18.50 C, 65.30 F
0.34 kPa, 84.25 m, 18.56 C, 65.41 F
100.31 kPa, 84.50 m, 18.56 C, 65.41 F
